att0;att1;att2;IN;OUT
0;0;0;6;1
0;0;0;6;1
7;11;25;6;1
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
16;24;23;1;7
10;20;5;1;7
0;0;0;1;7
4;20;18;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
0;0;0;1;7
8;1;16;1;7
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
0;0;0;7;1
3;21;1;7;1
0;0;0;7;1
10;23;21;7;1
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
3;23;7;1;8
25;1;27;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
0;0;0;1;8
8;17;3;1;8
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
11;0;1;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
6;5;1;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
0;0;0;8;1
21;25;20;8;1
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
10;9;13;1;9
0;0;0;1;9
1;4;19;1;9
0;0;0;1;9
21;13;10;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
0;0;0;1;9
29;6;3;1;9
18;23;13;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
10;0;21;9;1
0;0;0;9;1
0;0;0;9;1
1;4;28;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
0;0;0;9;1
24;16;12;9;1
23;10;17;9;1
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
29;0;3;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
0;0;0;2;4
27;15;20;2;4
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
24;23;7;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
24;6;18;4;2
0;0;0;4;2
0;0;0;4;2
0;0;0;4;2
15;13;17;4;2
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
3;16;1;2;5
0;0;0;2;5
0;0;0;2;5
4;11;21;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
0;0;0;2;5
7;3;24;2;5
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;0;0;5;2
0;2;18;5;2
0;0;0;2;8
0;13;21;2;8
0;0;0;2;8
0;0;0;2;8
24;28;5;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
0;0;0;2;8
3;12;3;2;8
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
19;9;3;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
0;0;0;8;2
28;22;6;8;2
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
26;8;9;2;9
0;0;0;2;9
0;0;0;2;9
5;20;27;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
0;0;0;2;9
8;15;8;2;9
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
0;0;0;9;2
3;5;1;9;2
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
0;0;0;3;4
21;20;21;3;4
0;0;0;3;4
15;1;17;3;4
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
23;10;7;4;3
22;13;23;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
0;0;0;4;3
16;18;3;4;3
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
1;29;12;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
23;20;8;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
0;0;0;3;5
2;20;21;3;5
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
23;28;7;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;0;0;5;3
0;22;18;5;3
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
16;22;1;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
0;0;0;3;7
23;18;27;3;7
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
29;1;2;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
0;0;0;7;3
21;15;15;7;3
10;6;13;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
0;0;0;3;10
7;4;25;3;10
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
11;24;16;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
0;0;0;10;3
7;13;14;10;3
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
3;9;21;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
0;0;0;4;6
11;28;27;4;6
0;0;0;4;6
0;0;0;4;6
22;9;6;4;6
0;0;0;6;4
19;14;28;6;4
0;0;0;6;4
0;0;0;6;4
0;0;0;6;4
13;2;10;6;4
0;0;0;6;4
0;0;0;6;4
7;2;19;6;4
0;0;0;6;4
0;0;0;6;4
11;9;14;6;4
0;0;0;6;4
0;0;0;6;4
0;0;0;6;4
12;22;21;6;4
0;0;0;6;4
8;20;28;6;4
0;0;0;6;4
6;15;12;6;4
8;15;29;6;4
0;0;0;4;8
2;11;13;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
20;16;29;4;8
14;11;16;4;8
0;0;0;4;8
0;0;0;4;8
0;0;0;4;8
29;12;5;4;8
0;0;0;8;4
0;0;0;8;4
0;3;9;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
9;3;21;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
0;0;0;8;4
18;6;16;8;4
5;11;5;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
4;29;9;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
0;0;0;4;9
22;7;7;4;9
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
26;20;3;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
0;0;0;9;4
6;5;16;9;4
24;21;9;9;4
1;13;18;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
0;0;0;4;10
27;3;29;4;10
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
0;0;0;10;4
8;8;10;10;4
0;0;0;10;4
4;3;18;10;4
0;0;0;10;4
24;12;3;10;4
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
25;21;26;5;6
9;9;25;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
0;0;0;5;6
1;2;2;5;6
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
0;0;0;6;5
16;12;0;6;5
0;0;0;6;5
23;7;2;6;5
0;0;0;6;5
0;0;0;6;5
19;24;16;6;5
0;0;0;6;5
0;0;0;6;5
13;9;7;6;5
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
0;0;0;5;7
22;27;26;5;7
0;0;0;5;7
0;0;0;5;7
11;6;2;5;7
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
0;0;0;7;5
3;9;3;7;5
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
25;27;10;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
0;0;0;5;8
13;14;20;5;8
27;16;3;5;8
0;0;0;5;8
11;16;17;5;8
0;0;0;8;5
12;4;9;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
0;0;0;8;5
5;29;20;8;5
0;0;0;6;7
0;0;0;6;7
0;0;0;6;7
0;0;0;6;7
0;0;0;6;7
0;0;0;6;7
0;0;0;6;7
23;8;24;6;7
0;0;0;6;7
0;0;0;6;7
0;0;0;6;7
7;21;4;6;7
0;0;0;6;7
0;0;0;6;7
0;0;0;6;7
1;17;26;6;7
4;23;15;6;7
0;0;0;6;7
0;0;0;6;7
0;0;0;6;7
11;6;23;6;7
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
23;14;20;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
0;0;0;7;6
20;11;13;7;6
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
29;1;13;6;8
29;21;24;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
0;0;0;6;8
12;26;29;6;8
0;0;0;8;6
0;0;0;8;6
0;0;0;8;6
0;0;0;8;6
7;6;23;8;6
0;0;0;8;6
0;0;0;8;6
10;3;7;8;6
0;0;0;8;6
0;0;0;8;6
0;0;0;8;6
0;0;0;8;6
0;0;0;8;6
0;0;0;8;6
0;0;0;8;6
4;6;8;8;6
0;0;0;8;6
14;4;5;8;6
0;0;0;8;6
0;0;0;8;6
3;23;22;8;6
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
1;18;29;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
27;14;20;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
0;0;0;6;9
22;4;26;6;9
0;0;0;6;9
6;29;9;6;9
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
22;4;5;9;6
0;11;24;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
0;0;0;9;6
9;5;19;9;6
0;0;0;7;8
22;16;13;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
2;1;5;7;8
0;0;0;7;8
9;14;28;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
0;0;0;7;8
23;12;19;7;8
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
4;5;27;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
0;0;0;8;7
7;5;15;8;7
0;0;0;8;10
0;0;0;8;10
22;27;16;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
0;0;0;8;10
19;23;21;8;10
18;14;27;10;8
12;23;7;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
19;20;16;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
0;17;11;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
0;0;0;10;8
1;8;16;10;8
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
1;11;1;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
0;0;0;9;10
6;24;6;9;10
0;0;0;9;10
9;16;2;9;10
0;0;0;9;10
11;26;12;9;10
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
8;4;16;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
0;0;0;10;9
15;5;24;10;9
26;25;26;10;9
0;0;0;10;9
0;0;0;10;9
29;29;3;10;9
23;18;22;10;9
0;0;0;1941;2299
0;0;0;2575;232
0;0;0;912;81
0;0;0;1381;176
0;0;0;1715;1048
0;0;0;2852;1423
0;0;0;2702;276
0;0;0;1494;83
0;0;0;1932;1542
0;0;0;422;696
0;0;0;1499;403
0;0;0;1185;1989
0;0;0;203;1810
0;0;0;789;1669
0;0;0;2775;1145
0;0;0;1654;939
0;0;0;2720;383
0;0;0;1102;1022
0;0;0;404;200
0;0;0;1896;2380
0;0;0;2084;2301
0;0;0;1372;602
0;0;0;2293;2091
0;0;0;838;2044
0;0;0;1288;1942
0;0;0;2121;1238
0;0;0;1127;1833
0;0;0;442;932
0;0;0;461;2965
0;0;0;1224;1223
0;0;0;2171;165
0;0;0;1905;745
0;0;0;1657;1417
0;0;0;444;2227
0;0;0;1838;730
0;0;0;2857;875
0;0;0;802;2790
0;0;0;2941;2084
0;0;0;455;392
0;0;0;1173;815
0;0;0;2595;571
0;0;0;1749;2717
0;0;0;1447;2595
0;0;0;2807;583
0;0;0;1949;583
0;0;0;1988;2157
0;0;0;871;447
0;0;0;1771;1525
0;0;0;2302;2158
0;0;0;337;404
0;0;0;2014;2929
0;0;0;153;1596
0;0;0;855;932
0;0;0;2004;1593
0;0;0;485;1412
0;0;0;1800;980
0;0;0;581;807
0;0;0;223;1714
0;0;0;26;2389
0;0;0;1067;1649
0;0;0;1561;2378
0;0;0;38;2855
0;0;0;2964;1101
0;0;0;765;220
0;0;0;2986;1853
0;0;0;879;2699
0;0;0;1025;2460
0;0;0;1179;1215
0;0;0;2891;2282
0;0;0;195;1758
0;0;0;1945;1459
0;0;0;1821;577
0;0;0;1448;613
0;0;0;160;2574
0;0;0;2088;958
0;0;0;1276;1053
0;0;0;2389;1889
0;0;0;203;2873
0;0;0;2009;1543
0;0;0;2300;1795
0;0;0;1888;1615
0;0;0;889;387
0;0;0;671;854
0;0;0;41;1280
0;0;0;2977;1095
0;0;0;396;840
0;0;0;759;1565
0;0;0;1032;2418
0;0;0;1306;1279
0;0;0;1613;325
0;0;0;1298;923
0;0;0;1333;440
0;0;0;2849;2412
0;0;0;614;1046
0;0;0;2506;1522
0;0;0;2963;930
0;0;0;2849;1538
0;0;0;24;162
0;0;0;614;2722
0;0;0;1513;2099
0;0;0;98;1631
0;0;0;1528;210
0;0;0;2059;1890
0;0;0;1564;2165
0;0;0;1366;1920
0;0;0;1555;340
0;0;0;292;2379
0;0;0;313;440
0;0;0;1562;2684
0;0;0;2874;340
0;0;0;118;1898
0;0;0;530;474
0;0;0;936;1568
0;0;0;1637;2185
0;0;0;1289;1722
0;0;0;743;377
0;0;0;1415;1210
0;0;0;109;583
0;0;0;780;2874
0;0;0;1279;1154
0;0;0;2881;720
0;0;0;123;2761
0;0;0;1967;1225
0;0;0;2550;1678
0;0;0;2978;1312
0;0;0;1987;1460
0;0;0;1640;165
0;0;0;2734;641
0;0;0;1759;125
0;0;0;1390;2868
0;0;0;1562;273
0;0;0;2710;2600
0;0;0;1265;1023
0;0;0;1547;1991
0;0;0;2009;1135
29;19;28;2926;1598
29;19;28;1598;2926
26;15;2;1468;536
26;15;2;536;1468
27;19;10;201;726
27;19;10;726;201
17;7;9;2538;2473
17;7;9;2473;2538
6;14;1;13;426
6;14;1;426;13
1;29;26;2194;1518
1;29;26;1518;2194
0;11;29;1744;2386
0;11;29;2386;1744
25;11;29;194;23
25;11;29;23;194
1;6;8;1282;2577
1;6;8;2577;1282
5;23;19;639;2965
5;23;19;2965;639
9;28;24;1156;734
9;28;24;734;1156
20;18;23;2056;2567
20;18;23;2567;2056
21;7;4;525;2349
21;7;4;2349;525
12;10;10;2313;1111
12;10;10;1111;2313
18;23;27;1233;608
18;23;27;608;1233
15;8;15;56;1846
15;8;15;1846;56
10;16;15;274;2643
10;16;15;2643;274
24;29;17;831;638
24;29;17;638;831
10;18;7;2141;174
10;18;7;174;2141
4;27;28;655;2331
4;27;28;2331;655
22;4;13;2831;331
22;4;13;331;2831
9;19;3;1784;2923
9;19;3;2923;1784
18;7;21;1703;2285
18;7;21;2285;1703
3;22;27;2999;2873
3;22;27;2873;2999
20;6;0;2138;2087
20;6;0;2087;2138
27;24;11;937;2723
27;24;11;2723;937
10;27;16;1519;338
10;27;16;338;1519
16;0;28;2187;1197
16;0;28;1197;2187
14;23;1;1489;389
14;23;1;389;1489
